07,16,26,29,52,04
05,09,39,41,45,01
03,12,13,19,38,02
06,15,33,44,54,04
14,27,36,47,58,01
01,21,22,33,40,04
23,31,47,50,60,01
04,08,37,46,56,02
06,22,29,33,45,04
01,20,21,31,47,01
02,12,30,33,44,04
05,39,41,50,57,01
17,26,31,53,60,02
01,23,52,53,58,04
13,14,18,42,53,01
07,16,26,29,52,04
05,09,39,41,45,01
03,12,13,19,38,02
06,15,33,44,54,04
14,27,36,47,58,01
01,21,22,33,40,04
23,31,47,50,60,01
04,08,37,46,56,02
06,22,29,33,45,04
01,20,21,31,47,01
02,12,30,33,44,04
05,39,41,50,57,01
17,26,31,53,60,02
01,23,52,53,58,04
13,14,18,42,53,01
07,16,26,29,52,04
05,09,39,41,45,01
03,12,13,19,38,02
06,15,33,44,54,04
14,27,36,47,58,01
01,21,22,33,40,04
23,31,47,50,60,01
04,08,37,46,56,02
06,22,29,33,45,04
01,20,21,31,47,01
02,12,30,33,44,04
05,39,41,50,57,01
17,26,31,53,60,02
01,23,52,53,58,04
13,14,18,42,53,01
